filename,width,height,class,xmin,ymin,xmax,ymax
000010.jpg,1280,720,truck,819,72,920,159
000010.jpg,1280,720,chemical_vehicle,1067,97,1280,299
000011.jpg,1280,720,car,950,264,1082,361
000011.jpg,1280,720,truck,806,37,929,126
000011.jpg,1280,720,car,462,40,486,67
000011.jpg,1280,720,car,595,50,617,68
000012.jpg,1280,720,car,661,68,695,95
000013.jpg,1280,720,car,842,150,914,198
000014.jpg,1280,720,truck,1008,92,1152,217
000014.jpg,1280,720,bus,806,52,917,150
000014.jpg,1280,720,car,634,59,669,86
000014.jpg,1280,720,car,514,47,547,70
000014.jpg,1280,720,car,454,43,475,61
000015.jpg,1280,720,truck,430,60,501,143
000015.jpg,1280,720,car,1059,225,1180,309
000016.jpg,1280,720,truck,428,32,469,76
000016.jpg,1280,720,car,467,46,490,63
000016.jpg,1280,720,truck,551,18,583,57
000017.jpg,1280,720,car,492,209,573,282
000017.jpg,1280,720,car,532,100,573,136
000017.jpg,1280,720,truck,623,15,669,67
000018.jpg,1280,720,car,1197,342,1265,480
000018.jpg,1280,720,truck,1165,96,1271,320
000018.jpg,1280,720,car,599,38,634,62
000018.jpg,1280,720,car,553,38,572,53
000019.jpg,1280,720,car,492,194,570,254
000019.jpg,1280,720,car,600,119,650,159
000019.jpg,1280,720,car,579,82,620,115
000019.jpg,1280,720,car,501,65,533,90
000019.jpg,1280,720,car,459,46,483,62
000019.jpg,1280,720,car,826,142,901,197
000019.jpg,1280,720,truck,1001,84,1158,215
000020.jpg,1280,720,truck,497,42,555,105
000020.jpg,1280,720,car,547,61,582,88
000020.jpg,1280,720,car,576,38,601,54
000020.jpg,1280,720,car,990,115,1084,191
000021.jpg,1280,720,car,607,620,820,720
000021.jpg,1280,720,truck,438,50,491,123
000021.jpg,1280,720,car,475,47,504,69
000021.jpg,1280,720,truck,654,28,687,64
000021.jpg,1280,720,car,565,34,591,54
000022.jpg,1280,720,truck,156,199,421,444
000022.jpg,1280,720,car,517,171,590,231
000022.jpg,1280,720,car,577,83,619,117
000022.jpg,1280,720,truck,439,38,486,96
000022.jpg,1280,720,truck,421,20,465,70
000022.jpg,1280,720,car,769,87,821,123
000022.jpg,1280,720,car,628,47,656,64
000022.jpg,1280,720,car,616,58,652,76
000022.jpg,1280,720,car,699,67,745,97
000022.jpg,1280,720,car,738,54,772,85
000023.jpg,1280,720,car,142,514,413,719
000023.jpg,1280,720,car,569,72,602,100
000023.jpg,1280,720,car,807,94,857,131
000023.jpg,1280,720,car,893,144,964,200
000023.jpg,1280,720,car,587,49,608,61
000023.jpg,1280,720,car,583,37,606,55
000023.jpg,1280,720,car,463,36,487,52
000024.jpg,1280,720,car,579,79,614,108
000024.jpg,1280,720,car,508,73,543,102
000024.jpg,1280,720,car,479,37,506,59
000024.jpg,1280,720,car,446,39,470,56
000024.jpg,1280,720,car,553,34,577,52
000024.jpg,1280,720,truck,600,15,642,54
000025.jpg,1280,720,car,500,198,581,286
000025.jpg,1280,720,car,635,170,735,287
000025.jpg,1280,720,car,516,123,571,168
000025.jpg,1280,720,car,510,71,547,98
000025.jpg,1280,720,car,558,64,591,94
000025.jpg,1280,720,car,516,43,546,70
000025.jpg,1280,720,car,729,60,770,93
000025.jpg,1280,720,car,449,62,475,89
000025.jpg,1280,720,car,597,565,825,719
000026.jpg,1280,720,chemical_vehicle,190,128,434,420
000026.jpg,1280,720,chemical_vehicle,445,40,505,119
000026.jpg,1280,720,car,613,43,642,63
000026.jpg,1280,720,car,421,34,445,51
000027.jpg,1280,720,truck,402,102,492,200
000027.jpg,1280,720,car,740,98,794,141
000027.jpg,1280,720,car,866,96,922,138
000027.jpg,1280,720,car,708,62,749,94
000027.jpg,1280,720,bus,558,15,614,54
000027.jpg,1280,720,car,455,41,485,64
000028.jpg,1280,720,car,454,251,560,364
000028.jpg,1280,720,car,912,196,1010,262
000028.jpg,1280,720,car,599,100,650,148
000028.jpg,1280,720,car,744,77,793,112
000028.jpg,1280,720,car,465,44,495,70
000028.jpg,1280,720,car,509,46,536,68
000029.jpg,1280,720,car,1035,344,1200,483
000029.jpg,1280,720,bus,432,113,595,354
000029.jpg,1280,720,car,577,70,617,114
000030.jpg,1280,720,car,490,180,568,265
000030.jpg,1280,720,car,617,137,684,197
000030.jpg,1280,720,car,804,131,887,194
000030.jpg,1280,720,car,953,160,1046,237
000030.jpg,1280,720,truck,875,54,974,145
000030.jpg,1280,720,car,482,55,511,80
000030.jpg,1280,720,car,582,37,615,60
000031.jpg,1280,720,truck,366,214,585,473
000031.jpg,1280,720,truck,1009,78,1233,251
000031.jpg,1280,720,car,581,75,624,116
000031.jpg,1280,720,car,746,70,792,111
000031.jpg,1280,720,car,622,43,663,71
000032.jpg,1280,720,car,388,291,512,417
000032.jpg,1280,720,car,808,142,878,199
000032.jpg,1280,720,car,579,79,622,120
000032.jpg,1280,720,car,754,66,795,96
000032.jpg,1280,720,car,686,65,727,86
000032.jpg,1280,720,car,650,64,692,93
000033.jpg,1280,720,car,1076,223,1236,345
000033.jpg,1280,720,car,1084,151,1203,241
000033.jpg,1280,720,car,656,51,691,77
000033.jpg,1280,720,car,606,53,632,70
000033.jpg,1280,720,car,604,34,641,64
000034.jpg,1280,720,car,638,51,669,71
000034.jpg,1280,720,car,593,45,623,69
000035.jpg,1280,720,truck,920,65,1020,161
000035.jpg,1280,720,car,794,119,856,160
000035.jpg,1280,720,truck,549,14,588,48
000036.jpg,1280,720,car,633,240,728,326
000036.jpg,1280,720,car,1122,415,1280,588
000036.jpg,1280,720,car,876,133,946,181
000036.jpg,1280,720,truck,520,60,565,120
000036.jpg,1280,720,car,502,60,526,88
000036.jpg,1280,720,car,454,38,480,59
000036.jpg,1280,720,chemical_vehicle,851,52,949,132
000036.jpg,1280,720,car,620,45,649,64
000037.jpg,1280,720,car,1188,462,1280,629
000038.jpg,1280,720,car,1069,224,1193,309
000038.jpg,1280,720,car,528,112,580,162
000039.jpg,1280,720,car,1017,332,1185,464
000039.jpg,1280,720,car,1170,277,1280,415
000039.jpg,1280,720,chemical_vehicle,985,75,1198,240
000039.jpg,1280,720,chemical_sign,1130,170,1145,193
000039.jpg,1280,720,chemical_sign,1055,122,1064,139
000039.jpg,1280,720,car,442,62,474,95
000039.jpg,1280,720,car,466,49,499,70
000040.jpg,1280,720,chemical_vehicle,893,59,1018,163
000040.jpg,1280,720,car,690,81,734,110
000040.jpg,1280,720,car,584,41,618,59
000041.jpg,1280,720,car,521,119,571,163
000042.jpg,1280,720,car,743,61,793,112
000042.jpg,1280,720,car,560,66,599,102
000043.jpg,1280,720,truck,393,51,526,219
000043.jpg,1280,720,car,575,81,613,122
000043.jpg,1280,720,car,683,52,720,75
000043.jpg,1280,720,car,596,48,630,72
000043.jpg,1280,720,car,617,40,648,66
000043.jpg,1280,720,truck,522,9,571,45
000044.jpg,1280,720,truck,3,359,253,711
000044.jpg,1280,720,car,977,281,1103,367
000044.jpg,1280,720,truck,388,72,488,207
000044.jpg,1280,720,car,762,112,820,154
000044.jpg,1280,720,car,679,72,726,109
000044.jpg,1280,720,car,732,54,778,100
000044.jpg,1280,720,truck,686,28,738,77
000044.jpg,1280,720,car,598,46,627,71
000045.jpg,1280,720,car,933,261,1055,352
000045.jpg,1280,720,car,1058,226,1177,305
000045.jpg,1280,720,car,832,159,902,211
000045.jpg,1280,720,car,715,65,763,103
000045.jpg,1280,720,chemical_vehicle,605,16,663,62
000046.jpg,1280,720,truck,167,218,421,432
000046.jpg,1280,720,truck,419,75,490,173
000046.jpg,1280,720,car,446,40,470,57
000046.jpg,1280,720,car,977,183,1062,239
000047.jpg,1280,720,truck,51,205,352,577
000047.jpg,1280,720,truck,439,166,597,359
000047.jpg,1280,720,car,622,133,672,183
000047.jpg,1280,720,car,596,90,642,134
000047.jpg,1280,720,car,493,55,517,85
000047.jpg,1280,720,car,521,49,556,71
000047.jpg,1280,720,car,921,208,1032,300
000047.jpg,1280,720,car,452,38,480,65
000048.jpg,1280,720,truck,1062,127,1237,255
000048.jpg,1280,720,car,659,53,698,79
000049.jpg,1280,720,car,611,207,697,282
000049.jpg,1280,720,car,524,111,575,172
000049.jpg,1280,720,car,1065,234,1178,318
000049.jpg,1280,720,car,706,93,764,132
000049.jpg,1280,720,car,744,76,793,108
000050.jpg,1280,720,car,773,124,844,174
000050.jpg,1280,720,car,766,79,813,117
000051.jpg,1280,720,truck,55,252,339,574
000051.jpg,1280,720,car,635,306,768,443
000051.jpg,1280,720,truck,439,47,495,104
000051.jpg,1280,720,car,515,28,536,42
000051.jpg,1280,720,truck,580,15,626,55
000052.jpg,1280,720,car,733,89,779,136
000052.jpg,1280,720,car,600,49,625,68
000052.jpg,1280,720,car,617,44,648,65
000052.jpg,1280,720,car,480,41,508,64
000052.jpg,1280,720,car,445,39,467,56
000053.jpg,1280,720,car,2,543,90,717
000053.jpg,1280,720,car,999,351,1159,485
000053.jpg,1280,720,car,798,141,879,202
000053.jpg,1280,720,car,919,153,995,211
000053.jpg,1280,720,car,527,53,554,73
000054.jpg,1280,720,car,627,204,706,277
000054.jpg,1280,720,car,519,100,567,146
000054.jpg,1280,720,car,771,116,827,159
000054.jpg,1280,720,car,694,62,726,86
000054.jpg,1280,720,car,591,42,624,65
000054.jpg,1280,720,car,438,36,463,54
000054.jpg,1280,720,car,469,34,494,54
000055.jpg,1280,720,truck,406,105,486,201
000055.jpg,1280,720,car,447,84,488,122
000055.jpg,1280,720,truck,902,91,1047,222
000055.jpg,1280,720,car,777,129,846,179
000055.jpg,1280,720,car,785,107,842,144
000056.jpg,1280,720,car,919,256,1039,336
000056.jpg,1280,720,car,826,105,882,147
000056.jpg,1280,720,car,695,84,745,114
000056.jpg,1280,720,car,599,54,627,68
000057.jpg,1280,720,car,579,72,620,112
000057.jpg,1280,720,car,451,63,485,94
000057.jpg,1280,720,car,676,72,724,106
000057.jpg,1280,720,car,724,66,760,98
000057.jpg,1280,720,truck,749,38,815,96
000058.jpg,1280,720,bus,436,126,586,336
000058.jpg,1280,720,car,910,227,1012,309
000058.jpg,1280,720,car,898,106,956,145
000058.jpg,1280,720,car,795,91,842,127
000058.jpg,1280,720,car,742,96,790,144
000058.jpg,1280,720,car,491,42,517,61
000059.jpg,1280,720,car,881,185,977,258
000059.jpg,1280,720,car,633,149,693,201
000059.jpg,1280,720,car,573,87,623,124
000059.jpg,1280,720,truck,484,27,531,90
000059.jpg,1280,720,truck,423,22,463,78
000059.jpg,1280,720,car,518,44,545,70
000059.jpg,1280,720,car,670,57,702,79
000059.jpg,1280,720,car,603,52,634,71
000060.jpg,1280,720,car,1147,204,1269,292
000060.jpg,1280,720,car,743,100,799,147
000060.jpg,1280,720,car,796,92,844,131
000061.jpg,1280,720,car,1168,467,1280,661
000061.jpg,1280,720,car,1029,218,1146,305
000061.jpg,1280,720,truck,880,71,965,144
000061.jpg,1280,720,car,814,104,868,143
000061.jpg,1280,720,car,743,89,792,133
000062.jpg,1280,720,car,843,152,913,206
000062.jpg,1280,720,car,644,187,719,265
000062.jpg,1280,720,car,527,128,576,176
000062.jpg,1280,720,truck,434,34,508,147
000062.jpg,1280,720,car,727,70,773,107
000062.jpg,1280,720,car,614,48,645,71
000062.jpg,1280,720,car,556,32,590,54
000063.jpg,1280,720,car,981,288,1132,411
000063.jpg,1280,720,truck,306,157,420,311
000063.jpg,1280,720,car,605,43,640,67
000064.jpg,1280,720,car,792,110,867,182
000064.jpg,1280,720,car,540,59,573,86
000064.jpg,1280,720,car,484,56,515,83
000065.jpg,1280,720,car,290,343,525,693
000065.jpg,1280,720,car,953,280,1096,391
000065.jpg,1280,720,car,624,202,715,266
000065.jpg,1280,720,car,527,126,574,171
000065.jpg,1280,720,bus,1067,148,1280,399
000065.jpg,1280,720,bus,996,75,1171,231
000065.jpg,1280,720,car,467,36,500,55
000066.jpg,1280,720,car,942,154,1027,222
000066.jpg,1280,720,car,526,97,569,129
000066.jpg,1280,720,car,656,65,695,94
000066.jpg,1280,720,bus,592,16,637,56
000066.jpg,1280,720,car,553,38,579,53
000067.jpg,1280,720,truck,37,159,409,585
000067.jpg,1280,720,truck,415,63,497,160
000067.jpg,1280,720,car,498,52,531,85
000067.jpg,1280,720,car,768,126,834,171
000067.jpg,1280,720,truck,830,67,935,161
000067.jpg,1280,720,truck,967,70,1133,219
000068.jpg,1280,720,car,414,303,548,450
000068.jpg,1280,720,car,772,89,820,125
000069.jpg,1280,720,car,388,341,542,532
000069.jpg,1280,720,car,480,51,511,70
000070.jpg,1280,720,car,426,112,486,177
000070.jpg,1280,720,truck,436,49,493,124
000070.jpg,1280,720,car,592,88,640,119
000070.jpg,1280,720,car,491,56,523,80
000070.jpg,1280,720,car,769,127,832,173
000070.jpg,1280,720,car,851,115,919,160
000071.jpg,1280,720,chemical_vehicle,347,119,477,279
000071.jpg,1280,720,car,751,98,807,150
000071.jpg,1280,720,truck,624,21,675,66
000071.jpg,1280,720,car,461,41,484,63
000072.jpg,1280,720,car,266,253,370,341
000072.jpg,1280,720,car,771,86,819,118
000072.jpg,1280,720,car,666,50,697,74
000072.jpg,1280,720,car,613,55,652,78
000072.jpg,1280,720,car,550,35,573,53
000072.jpg,1280,720,car,409,39,434,57
000072.jpg,1280,720,car,459,33,489,54
000073.jpg,1280,720,car,630,154,696,212
000073.jpg,1280,720,truck,502,106,584,212
000073.jpg,1280,720,car,578,87,620,119
000073.jpg,1280,720,car,595,40,623,60
000073.jpg,1280,720,car,568,36,593,52
000074.jpg,1280,720,car,576,500,800,720
000074.jpg,1280,720,truck,854,92,918,135
000074.jpg,1280,720,car,672,59,706,86
000075.jpg,1280,720,car,109,636,337,720
000075.jpg,1280,720,truck,418,59,505,171
000075.jpg,1280,720,car,723,89,777,128
000076.jpg,1280,720,car,574,80,610,112
000076.jpg,1280,720,car,681,60,717,86
000076.jpg,1280,720,car,504,71,546,101
000076.jpg,1280,720,truck,432,33,473,87
000076.jpg,1280,720,car,561,40,585,59
000076.jpg,1280,720,car,529,28,552,49
000077.jpg,1280,720,car,618,365,784,572
000077.jpg,1280,720,car,862,173,948,237
000077.jpg,1280,720,car,570,72,605,106
000077.jpg,1280,720,truck,438,33,479,87
000078.jpg,1280,720,car,631,403,805,599
000078.jpg,1280,720,car,442,240,551,346
000078.jpg,1280,720,car,983,136,1050,193
000078.jpg,1280,720,car,529,119,570,164
000078.jpg,1280,720,truck,428,86,491,156
000078.jpg,1280,720,bus,409,18,449,68
000079.jpg,1280,720,car,530,98,567,130
000079.jpg,1280,720,car,510,74,545,103
000079.jpg,1280,720,car,495,61,525,93
000079.jpg,1280,720,car,551,59,580,87
000079.jpg,1280,720,car,651,65,695,98
000079.jpg,1280,720,car,688,60,725,85
000079.jpg,1280,720,car,476,35,501,56
000080.jpg,1280,720,car,1149,432,1280,634
000080.jpg,1280,720,truck,1082,86,1280,322
000081.jpg,1280,720,car,1180,214,1280,300
000081.jpg,1280,720,car,581,93,631,136
000081.jpg,1280,720,truck,390,67,488,205
000081.jpg,1280,720,truck,435,36,476,83
000082.jpg,1280,720,truck,529,76,609,167
000082.jpg,1280,720,car,730,96,784,140
000082.jpg,1280,720,car,528,54,560,79
000082.jpg,1280,720,car,492,38,520,65
000083.jpg,1280,720,car,880,210,990,292
000083.jpg,1280,720,car,616,180,684,267
000083.jpg,1280,720,car,612,50,642,74
000084.jpg,1280,720,car,989,182,1085,247
000084.jpg,1280,720,car,695,83,743,119
000084.jpg,1280,720,car,711,57,757,92
000084.jpg,1280,720,car,471,48,499,67
000084.jpg,1280,720,car,466,33,492,55
000085.jpg,1280,720,truck,413,48,507,171
000085.jpg,1280,720,car,849,169,932,228
000085.jpg,1280,720,car,689,76,734,112
000085.jpg,1280,720,car,621,49,654,66
000086.jpg,1280,720,chemical_vehicle,772,34,866,110
000086.jpg,1280,720,car,622,51,654,77
000086.jpg,1280,720,car,536,58,567,80
000086.jpg,1280,720,truck,443,48,493,102
000086.jpg,1280,720,truck,427,33,471,76
000087.jpg,1280,720,car,990,183,1095,260
000087.jpg,1280,720,car,752,111,804,149
000087.jpg,1280,720,car,603,43,633,64
000087.jpg,1280,720,car,488,42,520,60
000087.jpg,1280,720,car,413,41,441,59
000087.jpg,1280,720,car,538,28,562,50
000088.jpg,1280,720,car,526,110,580,167
000088.jpg,1280,720,car,891,133,964,196
000088.jpg,1280,720,car,672,71,720,105
000088.jpg,1280,720,car,660,51,698,80
000089.jpg,1280,720,car,324,240,424,322
000089.jpg,1280,720,car,492,61,525,94
000089.jpg,1280,720,truck,649,22,698,67
000089.jpg,1280,720,truck,568,13,618,55
000090.jpg,1280,720,car,919,217,1025,286
000090.jpg,1280,720,truck,521,85,562,132
000090.jpg,1280,720,truck,438,43,475,85
000091.jpg,1280,720,car,869,123,935,176
000091.jpg,1280,720,car,549,60,587,92
000091.jpg,1280,720,car,644,37,670,66
000091.jpg,1280,720,truck,421,25,458,71
000092.jpg,1280,720,car,778,122,834,160
000092.jpg,1280,720,car,739,76,783,104
000092.jpg,1280,720,truck,695,23,763,77
000092.jpg,1280,720,car,639,60,672,84
000092.jpg,1280,720,truck,427,50,491,117
000093.jpg,1280,720,car,848,114,910,164
000093.jpg,1280,720,car,520,112,569,158
000093.jpg,1280,720,car,626,56,661,82
000093.jpg,1280,720,truck,626,19,678,60
000093.jpg,1280,720,car,577,39,599,59
000093.jpg,1280,720,car,522,45,551,72
000094.jpg,1280,720,car,1183,191,1280,312
000094.jpg,1280,720,car,835,114,893,149
000094.jpg,1280,720,car,737,97,782,137
000094.jpg,1280,720,car,615,54,648,74
000094.jpg,1280,720,car,601,39,627,61
000094.jpg,1280,720,car,551,35,573,49
000095.jpg,1280,720,truck,1128,108,1280,309
000096.jpg,1280,720,car,419,130,476,183
000096.jpg,1280,720,car,517,85,561,117
000096.jpg,1280,720,car,622,58,663,87
000096.jpg,1280,720,car,757,57,805,88
000097.jpg,1280,720,chemical_vehicle,261,110,454,363
000097.jpg,1280,720,chemical_sign,413,165,433,186
000097.jpg,1280,720,car,492,224,590,327
000097.jpg,1280,720,car,462,34,485,52
000097.jpg,1280,720,car,974,182,1070,249
000097.jpg,1280,720,car,947,119,1007,163
000098.jpg,1280,720,car,466,243,567,332
000098.jpg,1280,720,truck,1072,188,1214,308
000098.jpg,1280,720,truck,664,23,724,74
000099.jpg,1280,720,truck,975,72,1165,219
000099.jpg,1280,720,car,573,77,616,113
000099.jpg,1280,720,car,702,60,736,95
000099.jpg,1280,720,truck,601,25,632,55
000099.jpg,1280,720,car,536,33,556,47
000100.jpg,1280,720,car,853,120,922,163
000100.jpg,1280,720,car,590,107,642,146
000100.jpg,1280,720,car,547,70,585,97
000100.jpg,1280,720,car,645,57,682,82
000100.jpg,1280,720,car,710,68,746,94
000100.jpg,1280,720,car,684,51,716,76
000101.jpg,1280,720,car,607,369,769,536
000101.jpg,1280,720,car,636,50,664,67
000101.jpg,1280,720,car,611,53,639,74
000102.jpg,1280,720,car,797,92,850,134
000102.jpg,1280,720,car,545,59,586,91
000102.jpg,1280,720,car,545,21,569,45
000102.jpg,1280,720,car,537,36,573,54
000102.jpg,1280,720,car,512,31,543,48
000103.jpg,1280,720,truck,225,304,511,673
000103.jpg,1280,720,truck,335,117,469,280
000103.jpg,1280,720,truck,757,23,837,103
000103.jpg,1280,720,car,901,145,967,194
000103.jpg,1280,720,car,627,62,672,87
000104.jpg,1280,720,car,463,221,568,316
000104.jpg,1280,720,car,491,59,524,87
000104.jpg,1280,720,car,518,53,549,75
000104.jpg,1280,720,truck,523,7,576,49
000105.jpg,1280,720,car,583,35,610,55
000105.jpg,1280,720,truck,462,20,511,76
000106.jpg,1280,720,car,1089,251,1212,348
000106.jpg,1280,720,car,433,55,460,76
000106.jpg,1280,720,car,417,32,444,48
000107.jpg,1280,720,car,1127,464,1280,657
000107.jpg,1280,720,car,976,283,1111,376
000107.jpg,1280,720,truck,1124,103,1280,327
000107.jpg,1280,720,car,687,61,723,92
000107.jpg,1280,720,car,569,34,601,50
000107.jpg,1280,720,car,549,30,579,52
000108.jpg,1280,720,car,814,145,893,212
000108.jpg,1280,720,car,696,87,748,122
000108.jpg,1280,720,car,783,88,834,119
000108.jpg,1280,720,car,586,38,615,64
000108.jpg,1280,720,car,532,33,557,49
000108.jpg,1280,720,truck,444,35,506,115
000109.jpg,1280,720,car,998,198,1101,279
000109.jpg,1280,720,car,618,140,675,186
000109.jpg,1280,720,car,534,56,571,84
000109.jpg,1280,720,car,584,35,612,57
000110.jpg,1280,720,truck,335,141,472,289
000110.jpg,1280,720,car,984,311,1140,431
000110.jpg,1280,720,car,854,173,940,241
000110.jpg,1280,720,car,826,110,889,152
000110.jpg,1280,720,car,551,32,571,52
000111.jpg,1280,720,car,814,151,890,207
000111.jpg,1280,720,car,798,100,853,140
000111.jpg,1280,720,car,681,61,727,91
000111.jpg,1280,720,car,643,65,677,92
000111.jpg,1280,720,truck,701,28,769,83
000111.jpg,1280,720,car,577,39,603,57
000111.jpg,1280,720,car,526,33,552,49
000111.jpg,1280,720,car,549,40,585,60
000111.jpg,1280,720,truck,415,25,456,69
000111.jpg,1280,720,truck,428,13,474,56
000112.jpg,1280,720,car,1083,405,1275,551
000112.jpg,1280,720,car,915,161,999,237
000112.jpg,1280,720,truck,1078,82,1280,317
000112.jpg,1280,720,truck,512,120,592,216
000113.jpg,1280,720,bus,465,118,602,294
000113.jpg,1280,720,car,611,52,645,81
000113.jpg,1280,720,truck,627,28,674,65
000113.jpg,1280,720,truck,431,36,466,79
000113.jpg,1280,720,truck,456,23,494,67
000114.jpg,1280,720,truck,990,109,1258,355
000114.jpg,1280,720,car,534,110,582,150
000114.jpg,1280,720,car,712,96,767,134
000114.jpg,1280,720,truck,685,24,745,82
000114.jpg,1280,720,car,598,49,631,70
000114.jpg,1280,720,car,609,41,646,67
000115.jpg,1280,720,car,595,103,647,149
000115.jpg,1280,720,car,808,158,883,211
000115.jpg,1280,720,truck,851,62,994,185
000115.jpg,1280,720,car,557,72,590,93
000115.jpg,1280,720,car,639,49,677,76
000115.jpg,1280,720,truck,655,27,693,67
000115.jpg,1280,720,truck,434,22,485,92
000116.jpg,1280,720,truck,299,105,473,330
000117.jpg,1280,720,car,1176,520,1280,703
000117.jpg,1280,720,car,815,110,868,149
000117.jpg,1280,720,bus,681,28,748,91
000117.jpg,1280,720,car,628,61,661,84
000117.jpg,1280,720,truck,642,18,691,65
000118.jpg,1280,720,car,642,533,890,720
000118.jpg,1280,720,car,1166,293,1280,414
000118.jpg,1280,720,car,448,58,475,82
000118.jpg,1280,720,car,486,42,508,57
000119.jpg,1280,720,car,911,134,1000,200
000119.jpg,1280,720,car,786,129,853,186
000119.jpg,1280,720,car,618,146,683,198
000119.jpg,1280,720,car,711,46,746,76
000119.jpg,1280,720,car,625,52,669,91
000119.jpg,1280,720,car,553,31,577,49
000120.jpg,1280,720,truck,1033,88,1280,300
000120.jpg,1280,720,car,843,112,910,157
000120.jpg,1280,720,car,585,42,608,57
000120.jpg,1280,720,car,452,47,481,65
000121.jpg,1280,720,car,947,166,1034,225
000121.jpg,1280,720,car,763,120,821,160
000121.jpg,1280,720,car,671,54,713,86
000122.jpg,1280,720,car,590,298,738,500
000122.jpg,1280,720,bus,352,96,473,234
000122.jpg,1280,720,truck,808,55,900,158
000122.jpg,1280,720,car,733,101,790,142
000122.jpg,1280,720,car,453,42,479,56
000123.jpg,1280,720,car,1,552,135,714
000123.jpg,1280,720,car,612,162,688,217
000123.jpg,1280,720,car,686,59,727,85
000123.jpg,1280,720,car,603,51,632,70
000123.jpg,1280,720,truck,653,22,723,71
000123.jpg,1280,720,truck,430,39,503,122
000123.jpg,1280,720,truck,572,26,621,59
000123.jpg,1280,720,car,502,26,532,48
000124.jpg,1280,720,car,1019,326,1188,450
000124.jpg,1280,720,car,690,45,723,73
000124.jpg,1280,720,truck,431,20,495,106
000124.jpg,1280,720,car,480,48,510,76
000125.jpg,1280,720,car,972,176,1065,242
000125.jpg,1280,720,truck,965,79,1068,182
000125.jpg,1280,720,truck,775,34,885,116
000125.jpg,1280,720,car,630,137,703,197
000125.jpg,1280,720,bus,510,72,592,179
000125.jpg,1280,720,car,533,55,566,76
000125.jpg,1280,720,car,537,31,567,51
000125.jpg,1280,720,car,455,36,487,60
000125.jpg,1280,720,truck,411,24,452,69
000125.jpg,1280,720,chemical_vehicle,610,11,665,61
000126.jpg,1280,720,car,387,349,536,479
000126.jpg,1280,720,car,636,201,716,272
000126.jpg,1280,720,car,576,86,627,125
000126.jpg,1280,720,truck,696,31,746,80
000126.jpg,1280,720,car,488,60,521,82
000127.jpg,1280,720,car,810,149,889,206
000127.jpg,1280,720,car,593,101,644,144
000127.jpg,1280,720,car,515,91,562,132
000127.jpg,1280,720,car,755,77,802,112
000127.jpg,1280,720,car,635,54,670,79
000127.jpg,1280,720,car,485,56,515,81
000127.jpg,1280,720,car,488,38,522,58
000127.jpg,1280,720,car,548,32,588,60
000127.jpg,1280,720,car,438,35,463,60
000128.jpg,1280,720,car,765,122,819,165
000128.jpg,1280,720,car,826,105,887,149
000128.jpg,1280,720,car,796,96,849,132
000128.jpg,1280,720,car,712,85,766,129
000128.jpg,1280,720,truck,805,37,893,116
000129.jpg,1280,720,car,636,444,805,617
000129.jpg,1280,720,car,490,230,588,309
000129.jpg,1280,720,car,777,86,835,125
000129.jpg,1280,720,car,633,54,683,96
000129.jpg,1280,720,truck,484,37,517,83
000130.jpg,1280,720,car,882,217,986,288
